score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
9,37,12,7,3,6,3,12,9,6,3,6,0
2,32,5,2,1,7,1,5,2,2,1,7,0
2,31,6,2,3,2,0,6,2,2,3,2,0
3,33,8,3,0,3,0,8,3,3,0,3,0
6,35,10,4,6,6,2,10,6,5,6,6,0
6,35,10,5,5,4,0,10,6,6,5,4,0
5,36,10,5,4,1,0,10,5,5,4,1,1
5,39,12,4,0,2,1,12,5,4,0,2,1
3,33,5,3,2,5,0,5,3,3,2,5,0
8,37,12,6,2,5,0,12,8,6,2,5,0
3,34,9,3,0,4,0,9,3,3,0,4,0
10,34,13,10,4,5,0,13,10,10,4,5,0
3,33,8,3,0,6,0,8,3,3,0,6,0
6,31,9,6,5,4,1,9,6,4,5,4,0
1,33,6,1,1,8,0,6,1,1,1,8,0
0,26,2,0,2,7,1,2,0,0,2,7,0
1,33,6,1,2,1,0,6,1,1,2,1,1
7,38,16,7,0,5,0,16,7,6,0,5,1
11,35,11,11,7,5,2,11,11,9,7,5,2
2,39,9,2,0,3,2,9,2,2,0,3,1
0,29,1,0,1,3,1,1,0,0,1,3,0
8,34,10,6,4,4,0,10,8,5,4,4,1
11,36,10,10,7,2,0,10,11,5,7,2,0
4,35,9,3,1,3,0,9,4,3,1,3,1
10,35,7,7,6,7,3,7,10,7,6,7,1
1,36,9,1,4,5,1,9,1,1,4,5,1
2,32,4,2,2,1,0,4,2,2,2,1,1
4,30,7,4,3,7,0,7,4,4,3,7,0
3,35,10,3,1,1,0,10,3,1,1,1,0
0,33,5,0,0,7,0,5,0,0,0,7,0
1,31,8,1,3,2,0,8,1,1,3,2,0
5,33,10,5,4,2,1,10,5,5,4,2,0
1,31,4,1,1,1,0,4,1,1,1,1,0
5,31,8,5,3,9,1,8,5,4,3,9,0
11,41,14,10,0,4,0,14,11,5,0,4,1
8,39,14,8,2,1,0,14,8,8,2,1,4
1,32,6,1,5,9,0,6,1,1,5,9,1
1,37,7,1,0,8,1,7,1,1,0,8,0
3,35,7,3,3,6,2,7,3,3,3,6,1
5,36,12,4,1,2,1,12,5,1,1,2,1
3,31,5,3,5,6,2,5,3,3,5,6,0
3,36,13,3,3,3,1,13,3,3,3,3,1
5,34,11,5,4,4,0,11,5,5,4,4,1
4,37,9,2,3,6,0,9,4,3,3,6,0
7,35,9,5,8,6,1,9,7,6,8,6,0
5,36,9,5,4,8,1,9,5,5,4,8,1
3,34,11,3,2,1,2,11,3,3,2,1,0
0,31,6,0,1,2,0,6,0,0,1,2,0
3,34,8,3,2,11,0,8,3,3,2,11,1
5,29,7,4,3,10,1,7,5,3,3,10,1
0,31,3,0,4,8,0,3,0,0,4,8,0
3,28,5,3,3,9,1,5,3,3,3,9,1
2,35,8,2,0,5,0,8,2,2,0,5,1
11,33,10,8,3,3,1,10,11,4,3,3,1
15,48,23,15,5,3,1,23,15,15,5,3,3
3,34,8,3,4,5,3,8,3,3,4,5,2
6,34,7,4,3,8,1,7,6,3,3,8,0
1,33,6,1,2,7,0,6,1,1,2,7,0
6,38,14,6,1,5,2,14,6,6,1,5,1
9,36,14,9,3,4,1,14,9,9,3,4,1
11,42,16,9,3,2,3,16,11,4,3,2,0
6,37,9,6,2,6,2,9,6,5,2,6,1
7,31,8,7,3,2,1,8,7,6,3,2,2
3,33,9,3,1,4,0,9,3,3,1,4,1
10,40,14,10,4,4,3,14,10,10,4,4,1
2,34,8,2,2,4,3,8,2,2,2,4,0
2,33,6,2,0,6,0,6,2,2,0,6,1
4,31,9,4,1,5,0,9,4,3,1,5,1
5,37,7,1,6,4,1,7,5,1,6,4,0
0,35,9,0,2,5,0,9,0,0,2,5,0
0,28,4,0,3,3,0,4,0,0,3,3,0
2,29,7,2,0,3,0,7,2,2,0,3,0
6,39,15,6,0,5,3,15,6,6,0,5,1
3,35,12,3,2,2,0,12,3,3,2,2,1
2,22,7,2,0,3,0,7,2,2,0,3,1
2,19,5,1,3,1,0,5,2,0,3,1,0
0,32,5,0,0,4,0,5,0,0,0,4,0
2,28,4,2,2,10,1,4,2,2,2,10,0
7,36,10,5,5,2,2,10,7,5,5,2,1
0,32,6,0,1,4,2,6,0,0,1,4,0
0,28,4,0,1,2,0,4,0,0,1,2,0
1,24,3,1,4,5,0,3,1,0,4,5,0
3,32,11,2,2,3,1,11,3,3,2,3,0
0,27,2,0,1,2,0,2,0,0,1,2,0
3,32,10,3,3,3,0,10,3,3,3,3,0
0,29,2,0,4,4,0,2,0,0,4,4,0
5,34,13,4,3,4,1,13,5,5,3,4,0
2,33,6,2,0,5,0,6,2,2,0,5,0
0,30,4,0,2,8,0,4,0,0,2,8,0
1,24,4,0,4,5,0,4,1,0,4,5,0
9,37,12,8,1,7,2,12,9,9,1,7,2
3,29,7,3,4,6,0,7,3,3,4,6,2
2,33,6,2,1,4,0,6,2,2,1,4,2
3,25,5,2,6,2,1,5,3,3,6,2,0
3,32,6,3,2,7,0,6,3,3,2,7,0
11,39,15,10,4,5,1,15,11,8,4,5,2
0,28,3,0,5,9,0,3,0,0,5,9,0
3,27,5,2,5,5,0,5,3,2,5,5,1
4,35,10,3,4,1,3,10,4,4,4,1,0
3,32,5,3,6,5,0,5,3,3,6,5,0
0,31,3,0,0,6,0,3,0,0,0,6,0
5,30,8,5,3,10,0,8,5,4,3,10,0
1,23,7,1,2,0,0,7,1,1,2,0,1
2,20,5,1,2,2,1,5,2,2,2,2,0
5,36,13,5,3,4,2,13,5,5,3,4,0
9,33,12,9,5,5,3,12,9,7,5,5,1
5,35,11,5,4,8,0,11,5,5,4,8,1
